brand,rating,totalReviews
Nokia,3.2,8
Samsung,3.5,83
Nokia,3,2
Samsung,2.9,309
Motorola,2.9,2
Nokia,3.1,370
ASUS,1.8,2
Samsung,3.4,311
Motorola,3.5,36
Nokia,3.7,21
Nokia,3.4,12
Nokia,3.2,47
HUAWEI,3.5,24
Samsung,3.4,1
Samsung,3.5,240
Samsung,3.3,72
Samsung,4.1,5
Samsung,4.1,136
Nokia,3.4,111
Nokia,3.3,147
Samsung,3,13
Samsung,3,3
Samsung,3.8,24
Motorola,4,13
Apple,3.2,65
Samsung,3.4,186
Nokia,3.8,4
Samsung,4.7,4
Apple,3.4,4
Apple,3.1,97
Samsung,3.5,146
Apple,3.2,46
Motorola,4,42
ASUS,4.5,2
Motorola,2.9,3
Sony,2,1
Motorola,3.7,182
Motorola,3.5,9
HUAWEI,4,1
Samsung,3.4,186
Motorola,2,2
Nokia,3.5,3
Motorola,3,5
Samsung,3.9,25
Nokia,3.2,80
Xiaomi,3.8,14
HUAWEI,3,28
Motorola,2.5,10
Motorola,3.2,8
Samsung,3.5,133
Samsung,3.5,6
Samsung,3.8,7
Nokia,2.9,120
Motorola,2.9,7
HUAWEI,2.9,10
Samsung,3.4,9
Motorola,2.9,59
Nokia,2.4,5
Motorola,2.6,22
Nokia,3,14
HUAWEI,2.6,3
Samsung,4.2,11
HUAWEI,4,1
Motorola,3.3,21
Motorola,3.2,12
Nokia,2.7,3
Motorola,2.8,201
Samsung,2.8,76
Samsung,2.6,131
Samsung,3.2,66
Samsung,2,15
Samsung,3.4,102
Samsung,3.4,348
Samsung,3.4,56
Motorola,2.7,73
Samsung,3.1,23
Samsung,3.5,199
Samsung,3.1,123
Samsung,2.5,10
Samsung,3.5,305
Samsung,3.6,18
Samsung,3.5,23
Samsung,3.5,73
Motorola,1,1
Motorola,3,485
Nokia,3.4,62
Nokia,3.4,22
Nokia,3.4,575
Motorola,3.2,4
Motorola,3.5,262
Nokia,3.1,52
Nokia,3.4,348
Nokia,3.2,91
Nokia,3.7,71
Samsung,3.5,198
Samsung,3.7,638
Nokia,3,4
Motorola,3.9,699
Motorola,3.6,17
Samsung,3.8,231
Samsung,3.5,333
Samsung,3.8,342
Samsung,3.9,980
Samsung,3.6,294
Samsung,3.8,178
Samsung,3.4,85
Samsung,3.7,975
Nokia,3.5,13
Nokia,3.6,29
Samsung,3,18
Samsung,3.4,130
Samsung,3.4,130
Samsung,3.5,21
Motorola,4,257
Samsung,3.3,257
Samsung,3.5,829
Nokia,3.5,685
Nokia,3.7,208
Samsung,3.2,253
Samsung,3.7,27
Samsung,4.1,2
Motorola,4.1,122
Nokia,2.8,9
Samsung,3.3,60
Samsung,1,2
Nokia,3.8,111
Samsung,3.7,5
Samsung,3.5,1
Samsung,3.9,58
